,제품명,용법_인덱스,용법_내용
830,갈라폴드캡슐(미갈라스타트염산염),"음식과 함께 복용 시 이 약의 노출이 약 40 % 감소하므로, 최소 4시간의 공복을 유지하기 위해 이 약 투여 전후 2시간 이내에는 음식을 섭취하지 않는다. 이 4시간의 공복유지기간에 물 또는 50g 이하의 포도당을 함유한 투명한 음료(예: 과육이 없는 사과주스 250 mL 이하 등)를 섭취할 수 있다.",
831,갈라폴드캡슐(미갈라스타트염산염),환자에게 적절한 효과를 보이기 위해서는 2일에 한 번씩 매일 같은 시간에 복용해야 한다.,
832,갈라폴드캡슐(미갈라스타트염산염),"캡슐을 자르거나, 부수거나, 씹지 않고 캡슐 그대로 삼킨다.",
833,갈라폴드캡슐(미갈라스타트염산염),신장애 환자,
834,갈라폴드캡슐(미갈라스타트염산염),중증의 신장애 환자(예측 사구체 여과율(eGFR)이 30mL/분/1.73 m2미만)에는 이 약의 투여가 권장되지 않는다.,
835,갈라폴드캡슐(미갈라스타트염산염),간장애 환자,
836,갈라폴드캡슐(미갈라스타트염산염),간장애 환자에서는 용량조절이 요구되지 않는다.,
837,갈렌이소말트(원료)(수입),처방 또는 제조시 적의 사용,
838,갈렌포비돈(원료)(수입),처방 또는 제조시 적의사용,
839,갈로닉주(푸르설티아민염산염),"푸르설티아민으로서 보통 성인 1일 5 ～ 100 mg을 피하, 근육내 또는 정맥내 주사한다.",
840,갈로닉주(푸르설티아민염산염),증상에 따라 적절히 증감한다.,
841,갈로닌주(갈라민트리에티오디드), ,
842,갈로닌주(갈라민트리에티오디드),"성인 : 갈라민트리에티오다이드로서 보통 3일간 1회 10 ～ 20 mg을 8 ～ 12시간마다 근육주사 또는 정맥주사한다. 다만, 증상이 지속될 경우에는 주의하여 동일과정을 반복할 수 있다.",
843,갈로닌주(갈라민트리에티오디드),"연령, 증상에 따라 적절히 증감한다.",
844,갈로익주5밀리그램(푸르설티아민염산염),"푸르설티아민으로서 보통 성인 1일 5 ～ 100 mg을 피하, 근육내 또는 정맥내 주사한다.",
845,갈로익주5밀리그램(푸르설티아민염산염),증상에 따라 적절히 증감한다.,
846,갈로젠연질캡슐,성인 1일 1회 1캡슐씩 식후에 복용,
847,갈리치오주(갈라민트리에티오디드), ,
848,갈리치오주(갈라민트리에티오디드),"성인 : 갈라민트리에티오다이드로서 보통 3일간 1회 10 ～ 20 mg을 8 ～ 12시간마다 근육주사 또는 정맥주사한다. 다만, 증상이 지속될 경우에는 주의하여 동일과정을 반복할 수 있다.",
849,갈리치오주(갈라민트리에티오디드),"연령, 증상에 따라 적절히 증감한다.",
850,갈리타민주(푸르설티아민염산염),"푸르설티아민으로서 보통 성인 1일 5 ～ 100 mg을 피하, 근육내 또는 정맥내 주사한다.",
851,갈리타민주(푸르설티아민염산염),증상에 따라 적절히 증감한다.,
852,갈릭주(염산푸르설티아민),"푸르설티아민으로서 보통 성인 1일 5 ～ 100 mg을 피하, 근육내 또는 정맥내 주사한다.",
853,갈릭주(염산푸르설티아민),증상에 따라 적절히 증감한다.,
854,갈마겔현탁액(알마게이트),"성인 및 12세 이상의 소아 : 알마게이트로서 1회 1 ∼ 1.5 g을 1일 3회, 식후 30분 ∼ 1시간에 경구 복용한다. 필요시 취침 전에 1회 더 복용할 수 있다.",
855,갈사놀연질캡슐,8세 이상 어린이 및 성인 : 1회 1캡슐 1일 2회 복용한다.,
856,갈타제산(베타-갈락토시다제(아스퍼길루스)), ,
857,갈타제산(베타-갈락토시다제(아스퍼길루스)),o 유아의 유당불내에 의한 소화불량의 개선 : 베타갈락토시다제로서 1회 1250 ~ 2500 ONPG 단위를 수유시 함께 경구 투여한다.,
858,갈타제산(베타-갈락토시다제(아스퍼길루스)),"모유영양의 경우에는 소량의 물에 녹여 수유도중에 투여하고, 인공영양의 경우에는 분 유에 타서 투여한다. 이때 조유온도는 50℃를 넘지 않도록 주의한다.",
859,갈타제산(베타-갈락토시다제(아스퍼길루스)),"o 경관영양식, 경구유동식 등의 섭취시 유당불내에 의한 설사의 개선 : 섭취유당량 10g에 대하여 5000 ONPG단위를 식사와 함께 투여한다.",
860,갈타제산(베타-갈락토시다제(아스퍼길루스)),"연령, 증상에 따라 적절히 증감한다.",
861,감마그론골드연질캡슐,보통 성인 1일 1회 1캡슐을 아침 식사 전에 복용한다.,
862,감마덱스액(차아염소산나트륨0.14%),원액으로 사용한다.,
863,감마덱스액(차아염소산나트륨0.14%),1) 의료기구를 소독액에 1분 가량(5분 이내) 완전히 완전히 담근다. 내시경 등 미세구멍이 있는 기구류는 주의하여 충분히 접촉시킨다,
864,감마덱스액(차아염소산나트륨0.14%),2) 다량의 멸균정제수로 헹군다. 사용목적에 따라서 물을 사용할 수도 있다. 미세 구멍이 있는 기구류나 구조가 복잡한 기구류는 안쪽 소독액이 잔류하기 쉬우므로 멸균정제수 또는 물을 가압주입하거나 헹굼 시간을 늘려 충분히 헹군다.,
865,감마린디액,1) 반드시 사용상 주의사항과 사용설명서를 숙지하고 사용하시오.,
866,감마린디액,2) 반드시 건조 모발에 사용하시오.,
867,감마린디액,두피와 머리카락까지 충분히 젖도록 마사지 해주시오(사용량은 아래 표 참고),
868,감마린디액,3) 완전히 도포가 된 후 10분간 방치합니다. (반드시 10분이상은 사용하지 말 것),
869,감마린디액,4) 따뜻한 물을 이용하여 충분히 거품을 내어준 후 깨끗이 행구어 주시오.,
870,감마린디액,5) 약물을 사용 후 모발에 남아있는 죽은 머리이나 석캐는 반드시 석캐제거용 빗(참빗)을 이용하여 제거 하여 줍니다.,
871,감마린디액,6) 한번 사용 후 완치가 되지 않았을 경우 10일 후에 다시 사용하여 줍니다.,"
"
872,감마린액(린단),(겔제),"반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.
1. 머리이
이 약 15g 정도를 머리카락에 바르고 3일간 방치 후 머리를 감는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 머리이가 보이지 않는다면 재치료할 필요가 없다.
2. 사면발이
조심스럽게 감염된 신체부위에 적당량을 잘 문질러 펴바르고 3일간 방치후 씻어낸다.
3. 옴
1) 성인 및 10세 이상 소아 : 저녁에 머리부분을 제외한 건조한 몸 전체에 이 약을 바르고 다음날 아침 물로 씻어낸다. 이 용법을 1회 더 반복한다.
2) 3-10세 : 머리부분을 제외한 건조한 몸전체에 이 약을 바르고 3시간 후 목욕시켜 씻어내고 다음날 이 용법을 1회 더 반복한다.
"
873,감마린액(린단),(액제),"반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.
1. 건조 모발에 충분량을 바른다.
2. 모발 사이에 잘 문질러 바르고 4분간 방치한다. 4분 동안 머리에 샤워캡 등을 쓰지 않는다.
3. 소량의 물로 거품을 충분히 낸다.
4. 완전히 헹구어 내고 수건으로 깨끗이 닦는다.
보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 이가 보이지 않는다면 재치료할 필요가 없다.
"
874,감마린액(린단),(로오숀제),"반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.
옴 : 건조한 피부에 충분량을 문질러 펴 바른다. 상처 딱지가 있을 경우에는 따뜻한 물로 씻는 것이 치료에 도움을 주나, 이 약을 사용하기 전 1시간 이내에 씻으면 안된다. 씻은 후에 피부를 건조시킨 후 이 약을 바른다. 목에서 발끝까지 건조한 피부전신에 얇게 바른 후 잘 문지르고 8-12시간 후에 물로 완전히 씻는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 옴벌레가 보이지 않는다면 재치료할 필요가 없다.
"
875,감마린액(린단),(크림제),"반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.
1. 옴
건조한 피부에 충분량을 문질러 펴 바른다. 상처 딱지가 있을 경우에는 따뜻한 물로 씻는 것이 치료에 도움을 주나, 이 약을 사용하기 전 1시간 이내에 씻으면 안된다. 씻은 후에 피부를 건조시킨 후 이 약을 바른다. 목에서 발끝까지 건조한 피부전신에 얇게 바른 후 잘 문지르고 6-12시간 후에 물로 완전히 씻는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 옴벌레가 보이지 않는다면 재치료할 필요가 없다.
보통 피부 접촉지속시간은 어린이는 6시간, 성인은 12시간까지로 제한되어야 한다.
2. 이
마른 머리에 두피와 모발 전체에 충분량을 문질러 펴 바르고 3-5분 동안 약이 작용하도록 한 후 물로 헹구어 낸다.
보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 이가 보이지 않는다면 재치료할 필요가 없다.
"
876,감마린크림(린단),(겔제),
877,감마린크림(린단),반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.,
878,감마린크림(린단),1. 머리이,"이 약 15g 정도를 머리카락에 바르고 3일간 방치 후 머리를 감는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 머리이가 보이지 않는다면 재치료할 필요가 없다.
"
879,감마린크림(린단),2. 사면발이,"조심스럽게 감염된 신체부위에 적당량을 잘 문질러 펴바르고 3일간 방치후 씻어낸다.
"
880,감마린크림(린단),3. 옴,"1) 성인 및 10세 이상 소아 : 저녁에 머리부분을 제외한 건조한 몸 전체에 이 약을 바르고 다음날 아침 물로 씻어낸다. 이 용법을 1회 더 반복한다.
2) 3-10세 : 머리부분을 제외한 건조한 몸전체에 이 약을 바르고 3시간 후 목욕시켜 씻어내고 다음날 이 용법을 1회 더 반복한다.
"
881,감마린크림(린단),(액제),
882,감마린크림(린단),반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.,
883,감마린크림(린단),1. 건조 모발에 충분량을 바른다.,
884,감마린크림(린단),2. 모발 사이에 잘 문질러 바르고 4분간 방치한다. 4분 동안 머리에 샤워캡 등을 쓰지 않는다.,
885,감마린크림(린단),3. 소량의 물로 거품을 충분히 낸다.,
886,감마린크림(린단),4. 완전히 헹구어 내고 수건으로 깨끗이 닦는다.,
887,감마린크림(린단),보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 이가 보이지 않는다면 재치료할 필요가 없다.,
888,감마린크림(린단),(로오숀제),
889,감마린크림(린단),반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.,
890,감마린크림(린단),"옴 : 건조한 피부에 충분량을 문질러 펴 바른다. 상처 딱지가 있을 경우에는 따뜻한 물로 씻는 것이 치료에 도움을 주나, 이 약을 사용하기 전 1시간 이내에 씻으면 안된다. 씻은 후에 피부를 건조시킨 후 이 약을 바른다. 목에서 발끝까지 건조한 피부전신에 얇게 바른 후 잘 문지르고 8-12시간 후에 물로 완전히 씻는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 옴벌레가 보이지 않는다면 재치료할 필요가 없다.",
891,감마린크림(린단),(크림제),
892,감마린크림(린단),반드시 지시한 대로만 사용하며 권장용량을 초과하지 않는다.,
893,감마린크림(린단),1. 옴,
894,감마린크림(린단),"건조한 피부에 충분량을 문질러 펴 바른다. 상처 딱지가 있을 경우에는 따뜻한 물로 씻는 것이 치료에 도움을 주나, 이 약을 사용하기 전 1시간 이내에 씻으면 안된다. 씻은 후에 피부를 건조시킨 후 이 약을 바른다. 목에서 발끝까지 건조한 피부전신에 얇게 바른 후 잘 문지르고 6-12시간 후에 물로 완전히 씻는다. 보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 옴벌레가 보이지 않는다면 재치료할 필요가 없다.",
895,감마린크림(린단),"보통 피부 접촉지속시간은 어린이는 6시간, 성인은 12시간까지로 제한되어야 한다.",
896,감마린크림(린단),2. 이,
897,감마린크림(린단),마른 머리에 두피와 모발 전체에 충분량을 문질러 펴 바르고 3-5분 동안 약이 작용하도록 한 후 물로 헹구어 낸다.,
898,감마린크림(린단),보통 1회 적용으로 치유된다. 치료 후에도 가려움이 있을 수 있으나 이것은 치료되지 않은 것이 아니며 살아있는 이가 보이지 않는다면 재치료할 필요가 없다.,
899,감마마그빅연질캡슐,"만 12세 이상 및 성인 : 1회 1캡슐, 1일 2회 복용한다.",
900,감마마인연질캡슐,"성인 1일 3회, 1회 1캡슐 식후 복용",
901,감마비골드연질캡슐,"만 12세 이상 및 성인 1일 2회, 1회 1캡슐 복용",
902,감막소코연질캡슐,"만 15세 이상 1일 3회, 1회 1캡슐 (식후 30분에 복용)",
903,감막소코프연질캡슐,"만 15세 이상 1일 3회, 1회 1캡슐 (식후 30분에 복용)",
904,감막트연질캡슐(수출용),성인 1일 1회 1캅셀을 식후에 복용한다.,
905,감모콜과립,15세 이상의 성인 1회 1포 1일 3회 식후 30분에 복용한다.,
906,감모콜과립,어린이 1회,
907,감모콜과립,11세 이상 - 15세 미만 2/3포,
908,감모콜과립,7세 이상 - 11세 미만 1/2포,
909,감모콜과립,3세 이상 - 7세 미만 1/3포,
910,감모콜과립,2세 이상 - 3세 미만 1/4포,
911,감모콜과립,"만 2세 미만에게 투여하지 않는다. 다만, 꼭 필요한 경우 의사의 진료를 받는다.",
912,감바로과립,15세 이상의 성인 1회 1포 1일 3회 식후 30분에 복용한다.,
913,감바로과립,어린이 1회,
914,감바로과립,11세 이상 - 15세 미만 2/3포,
915,감바로과립,7세 이상 - 11세 미만 1/2포,
916,감바로과립,3세 이상 - 7세 미만 1/3포,
917,감바로과립,2세 이상 - 3세 미만 1/4포,
918,감바로과립,"만 2세 미만에게 투여하지 않는다. 다만, 꼭 필요한 경우 의사의 진료를 받는다.",
919,감콜데이나이트정(수출용),(주간용),"성인 및 12세 이상의 청소년 : 4 ∼ 6시간마다 1회 1 ∼ 2정씩 복용한다.
"
920,감콜데이나이트정(수출용),(야간용),"성인 및 12세 이상의 청소년 : 4시간마다 1회 1 ∼ 2정씩 복용한다.
주간용과 야간용을 합쳐서 1일 8정을 초과하여 복용하지 않는다.
"
921,감콜씨플러스캡슐,"만 15세 이상의 어린이 및 성인 : 1회 2캡슐, 1일 3회, 식후 30분에 복용",
922,감콜씨플러스캡슐,"만 8세이상~15세미만 어린이 : 1회 1캡슐, 1일 3회, 식후 30분에 복용",
923,감콜캡슐(수출용),성인(15세 이상): 1회 2캡슐을 1일 3회 식후 30분에 복용한다.,
924,감콜캡슐(수출용),소아(7~14세): 1회 1캡슐을 1일 3회 식후 30분에 복용한다.,
925,강남의료용산소,의사의 지시에 따라 적량 사용한다.,
926,강남의료용산소,보통 40-100%농도에서 비강캐뉼라 또는 마스크를 사용하여 흡입한다.,
927,강력원기소,(안전성·유효성을 확인할 수 없음),
928,개비스콘더블액션현탁액,ㅇ 성인 및 12세 이상 소아 : 1회 10 ～ 20 mL을 1일 4회(식후 및 취침전) 복용한다.,
929,개비스콘츄어블정,ㅇ 성인 및 12세 이상 소아 : 1회 2 ～ 4정을 1일 4회(식후 및 취침전) 복용한다.,
930,개비스콘츄어블정,복용 시 삼키기 전 충분히 씹어 복용한다.,
931,개비스콘페퍼민트현탁액,ㅇ 성인 : 1회 10 ～ 20 mL을 1일 4회(식후 및 취침전) 복용한다.,
932,개비스콘프로정,성인 및 12세 이상 소아 : 1일 4회(식후 및 취침 전) 1 ～ 2정을 복용한다.,
933,개비스콘프로정,복용시 삼키기 전 충분히 씹어 복용한다.,
934,개비콘에스정,만 15세 이상 및 성인,
935,개비콘에스정,"1회 4정, 1일 3회 식간(식사때와 식사때 사이에)에 복용한다.",
936,개비콘큐츄어블정(수출용),만 15세 이상 및 성인,
937,개비콘큐츄어블정(수출용),1회 2∼4정 1일 3회 식간(식사때와 식사때 사이에)에 입안에서 녹이거나 씹어서 복용한다.,
938,개비트론더블액션현탁액,ㅇ 성인 및 12세 이상 소아 : 1회 10 ～ 20 mL을 1일 4회(식후 및 취침전) 복용한다.,
939,개스틴캡슐,성인 : 1회 1캡슐 1일 3회 식전 복용한다.,
940,개스틴캡슐,엑스선 촬영 시 장내 가스제거를 위해 검사 2시간 전에 1캡슐을 복용한다.,
941,개스틴포르테연질캡슐,"성인: 1회 1캡슐, 1일 2〜3회 식전에 복용한다.",
942,개스포린에프정,○ 성인,
943,개스포린에프정,보통 식사와 무관하게 1회 1정을 1일 2회 오전 및 취침전에 경구투여한다.,
944,개스포린에프정,1) 위·십이지장 궤양,
945,개스포린에프정,1회 1정을 1일 2회 투여하거나 1회 2정을 1일 1회 취침전에 투여한다. 특히 십이지장궤양환자에 대해서 1회 2정 1일 2회 오전 및 취침전에 투여하면 보다 높은 치료율을 얻을 수 있다. 비스테로이드소염진통제 투여로 인한 궤양 또는 비스테로이드소염진통제 장기 투여시 위·십이지장궤양발생을 예방하기 위한 병용요법에 있어서도 용량은 같다. 보통은 4주 이내 비스테로이드소염진통제 투여로 인한 질환은 보통 8주 이내에 치유되나 간혹 환자에 따라 치유기간이 연장될 수도 있다. 이 약의 단기요법으로 효과가 우수하였던 재발성 궤양환자들에 대해서는 유지요법으로 1회 1정을 1일 1회 취침전에 투여한다.,
946,개스포린에프정,2) 역류성 식도염,
947,개스포린에프정,"8주 동안 1회 1정, 1일 2회 투여하거나 1회 2정을 1일 1회 취침전에 투여한다. 단 중증역류성 식도염환자에 대해서는 1회 2정을 1일 4회로 증량할 수 있다.",
948,개스포린에프정,3) 졸링거-엘리슨 증후군,
949,개스포린에프정,초기용량으로서 1회 1정을 1일 3회로 치료를 시작하며 필요에 따라 증량할 수 있다. 중증질환의 경우 의사의 지시에 따라 1일 라니티딘으로써 6 g까지 부여할 수 있다.,
950,개스포린에프정,"4) 소화성 궤양, 급성 스트레스성 궤양 및 급성 위점막 병변에 의한 상부소화관 출혈",
951,개스포린에프정,경구 투여가 가능해지면 주사에서 경구투여로 전환하여 1회 1정을 1일 2회 투여한다.,
952,개스포린에프정,5) 마취전 투약(멘델슨증후군 예방),
953,개스포린에프정,마취유도 2시간 전에 1회 1정을 투여한다. 이 경우 수술전야에도 1회 1정을 투여하면 더욱 좋다.,
954,개스포린정,○ 성인,
955,개스포린정,보통 식사와 무관하게 1회 2정을 1일 2회 오전 및 취침전에 경구투여한다.,
956,개스포린정,1) 위·십이지장궤양,
957,개스포린정,1회 2정을 1일 2회 투여하거나 1회 4정을 1일 1회 취침전에 투여한다. 특히 십이지장궤양환자에 대해서 1회 4정 1일 2회 오전 및 취침전에 투여하면 보다 높은 치료율을 얻을 수 있다. 비스테로이드소염진통제 투여로 인한 궤양 또는 비스테로이드소염진통제 장기 투여시 위·십이지장궤양발생을 예방하기 위한 병용요법에 있어서도 용량은 같다. 보통은 4주 이내 비스테로이드소염진통제 투여로 인한 질환은 보통 8주 이내에 치유되나 간혹 환자에 따라 치유기간이 연장될 수도 있다. 이 약의 단기요법으로 효과가 우수하였던 재발성 궤양환자들에 대해서는 유지요법으로 1회 2정을 1일 1회 취침전에 투여한다.,
958,개스포린정,2) 역류성식도염,
959,개스포린정,"8주 동안 1회 2정, 1일 2회 투여하거나 1회 4정을 1일 1회 취침전에 투여한다. 단 중증 역류성식도염 환자에 대해서는 1회 4정을 1일 4회로 증량할 수 있다.",
960,개스포린정,3) 졸링거-엘리슨 증후군,
961,개스포린정,초기용량으로서 1회 2정을 1일 3회로 치료를 시작하며 필요에 따라 증량할 수 있다. 중증질환의 경우 의사의 지시에 따라 1일 라니티딘으로써 6 g까지 부여할 수 있다.,
962,개스포린정,"4) 소화성 궤양, 급성 스트레스성 궤양 및 급성 위점막 병변에 의한 상부소화관 출혈",
963,개스포린정,경구 투여가 가능해지면 주사에서 경구투여로 전환하여 1회 2정을 1일 2회 투여한다.,
964,개스포린정,5) 마취전 투약(멘델슨증후군 예방),
965,개스포린정,마취유도 2시간 전에 1회 2정을 투여한다. 이 경우 수술전야에도 1회 2정을 투여하면 더욱 좋다.,
966,거글스프레이(포비돈요오드),1일 수회 적당량을 분사도포한다.,
967,거드액(알긴산나트륨),1. 위·십이지장궤양 및 미란성 위염의 지혈 및 자각증상 개선과 역류성 식도염의 자각 증상 개선 : 알긴산나트륨으로서 보통 1회 1∼3g(이 약 20∼60mL)을 1일 3∼4회 공복에 경구투여한다. 경구 투여가 불가능한 경우에는 코 존데(sonde)를 이용한 경 비투여를 한다.,
968,거드액(알긴산나트륨),2. 위 생검 출혈 시의 지혈 : 이 약으로서 보통 1회 0.5∼1.5g(이 약 10∼30mL)을 내 시경적으로 투여하고 1회 1.5g(이 약 30mL)을 경구 투여한다.,
969,건닥신주(싸이모신알파1),이 약 900ug/㎡(1바이알)을 백신접종 첫 주부터 4주간 주 2회씩 피하 또는 근육 주사한다.,
970,건닥신주(싸이모신알파1),"투여 직전, 첨부된 용제에 녹여 주사한다.",
971,건레탈서방캡슐100밀리그램(실로스타졸),실로스타졸로서 보통 성인 1회 200mg을 1일 1회 경구투여한다.,
972,건레탈서방캡슐100밀리그램(실로스타졸),이 약은 식사를 피하여 공복 상태에서 복용한다. (사용상 주의사항 중 ‘5. 일반적 주의 6)항’ 참조),
973,건레탈서방캡슐200밀리그램(실로스타졸),실로스타졸로서 보통 성인 1회 200mg을 1일 1회 경구투여한다.,
974,건레탈서방캡슐200밀리그램(실로스타졸),이 약은 식사를 피하여 공복 상태에서 복용한다. (사용상 주의사항 중 ‘5. 일반적 주의 6)항’ 참조),
975,건메피드정2밀리그램(글리메피리드),각 환자에 대해 개별적으로 조절한다. 물 1/2컵 이상과 함께 씹지 않고 삼킨다. 이 약은 1일 1회 경구투여한다. 이 약은 아침식사 전 또는 첫번째 식사직전에 복용해야 한다. 이 약 복용 후에 식사를 거르지 않는 것이 매우 중요하다.,
976,건메피드정2밀리그램(글리메피리드),1. 단독요법,
977,건메피드정2밀리그램(글리메피리드),1) 초기용량 및 용량결정,
978,건메피드정2밀리그램(글리메피리드),"이전에 약물을 투여 받은 적이 없는 환자에 대해서는 1일 1회, 글리메피리드로서 1 mg으로 투약을 시작한다. 필요할 경우, 1 ～ 2주의 간격을 두고 1 mg씩 용량을 증가시킨다. 일반적으로 4 mg 이상의 용량을 투여했을 때 추가효과는 거의 없지만, 몇몇 환자들은 6 mg(또는 8 mg)까지 증량시킴으로써 더 나은 대사조절을 보였다. 1일 4 mg 투여가 실패하면, 먼저 인슐린 요법으로의 전환을 고려해 보고 그렇지 않으면 인슐린 또는 기타 경구용 당뇨병약과의 병용을 고려해야 한다.",
979,건메피드정2밀리그램(글리메피리드),2) 2차 용량조절,
980,건메피드정2밀리그램(글리메피리드),"치료가 진행됨에 따라 당뇨병 조절상태가 호전됨으로써 이 약의 필요량이 감소할 수 있다. 그러므로 저혈당을 피하기 위해 감량이나 이 약의 투여중단이 필요할 수도 있다. 체중감소, 생활방식의 변화, 또는 저혈당 또는 고혈당을 일으킬 위험성을 증가시킬만한 기타요인이 발생했을 때도 용량조절을 고려해야 한다.",
981,건메피드정2밀리그램(글리메피리드),3) 다른 경구용 혈당강하제에서 이 약으로의 전환,
982,건메피드정2밀리그램(글리메피리드),"이 약 및 다른 경구용 혈당강하제 사이에 정확한 용량 상관관계는 없다. 다른 경구용 혈당강하제를 투여하다가 이 약으로 전환할 경우에는 초기용량 항에서 제시한 방법을 따르는 것이 좋다. 즉, 1일 1 mg으로 투여를 시작하고 1 ～ 2주 간격으로 용량을 조절할 수 있다. 이전에 투여하던 약물의 효력 및 작용지속정도를 고려해야 한다.",
983,건메피드정2밀리그램(글리메피리드),4) 투약조절,
984,건메피드정2밀리그램(글리메피리드),"이 약을 복용하는 동안, 혈당 또는/및 요당수준을 규칙적으로 측정해야 하고, 또한 당화헤모글로빈(HbA1c) 수준을 규칙적으로 측정하는 것도 권장된다. 일반적으로, 저혈당은 곧바로 당을 섭취함으로써 즉시 조절된다. 설포닐우레아계 약물을 투여했을 때 초기에 성공적으로 대처했음에도 불구하고 저혈당이 재발할 수 있다. 그러므로 환자를 주의 깊게 관찰해야 한다. 심한 저혈당의 경우에는 의사의 즉각적인 처치 및 추적관찰이 필요하고 때때로 입원치료가 필요하다.",
985,건메피드정2밀리그램(글리메피리드),2. 병용요법,
986,건메피드정2밀리그램(글리메피리드),1) 인슐린과의 병용요법,
987,건메피드정2밀리그램(글리메피리드),"이 약과 인슐린의 병용요법은 2차적 실패 환자에게 사용하며 공복혈당(FBG)이 150 mg/dL을 넘을 경우 인슐린과의 병용요법을 사용한다. 이 약은 1일 1회 첫번째 식사와 함께 8 mg을 투여하며, 인슐린은 저용량으로 시작하여 공복혈당 측정치에 따라 대략 일주일 간격으로 증량한다. 안정화되면, 가능한 한 날마다 모세혈당을 모니터링 해야 한다. 혈당과 당화헤모글로빈을 측정하면서 주기적으로 인슐린의 용량을 조절하는 것이 필요하다.",
988,건메피드정2밀리그램(글리메피리드),2) 메트포르민과의 병용요법,
989,건메피드정2밀리그램(글리메피리드),"환자가 이 약의 최대용량에 적절히 반응하지 않을 경우, 메트포르민의 추가를 고려할 수 있다. 글리벤클라미드, 글리피자이드, 클로르프로파마이드, 톨부타마이드 등의 기타 설포닐우레아계 제제와 메트포르민의 병용요법에 대해 발표된 임상정보가 존재한다. 이 약과 메트포르민의 병용요법시, 각각의 약물의 용량을 조절함으로써 원하는 혈당에 도달할 수 있다. 그러나 혈당조절을 위한 각 약물의 최소 유효용량을 알아내기 위한 노력이 이루어져야 한다. 이 약과 메트포르민의 병용투여시 저혈당의 위험이 존재하며 위험이 증가할 수도 있다. 적절한 주의가 이루어져야 한다.",
990,건메피드정4밀리그램(글리메피리드),각 환자에 대해 개별적으로 조절한다. 물 1/2컵 이상과 함께 씹지 않고 삼킨다. 이 약은 1일 1회 경구투여한다. 이 약은 아침식사 전 또는 첫번째 식사직전에 복용해야 한다. 이 약 복용 후에 식사를 거르지 않는 것이 매우 중요하다.,
991,건메피드정4밀리그램(글리메피리드),1. 단독요법,
992,건메피드정4밀리그램(글리메피리드),1) 초기용량 및 용량결정,
993,건메피드정4밀리그램(글리메피리드),"이전에 약물을 투여 받은 적이 없는 환자에 대해서는 1일 1회, 글리메피리드로서 1 mg으로 투약을 시작한다. 필요할 경우, 1 ～ 2주의 간격을 두고 1 mg씩 용량을 증가시킨다. 일반적으로 4 mg 이상의 용량을 투여했을 때 추가효과는 거의 없지만, 몇몇 환자들은 6 mg(또는 8 mg)까지 증량시킴으로써 더 나은 대사조절을 보였다. 1일 4 mg 투여가 실패하면, 먼저 인슐린 요법으로의 전환을 고려해 보고 그렇지 않으면 인슐린 또는 기타 경구용 당뇨병약과의 병용을 고려해야 한다.",
994,건메피드정4밀리그램(글리메피리드),2) 2차 용량조절,
995,건메피드정4밀리그램(글리메피리드),"치료가 진행됨에 따라 당뇨병 조절상태가 호전됨으로써 이 약의 필요량이 감소할 수 있다. 그러므로 저혈당을 피하기 위해 감량이나 이 약의 투여중단이 필요할 수도 있다. 체중감소, 생활방식의 변화, 또는 저혈당 또는 고혈당을 일으킬 위험성을 증가시킬만한 기타요인이 발생했을 때도 용량조절을 고려해야 한다.",
996,건메피드정4밀리그램(글리메피리드),3) 다른 경구용 혈당강하제에서 이 약으로의 전환,
997,건메피드정4밀리그램(글리메피리드),"이 약 및 다른 경구용 혈당강하제 사이에 정확한 용량 상관관계는 없다. 다른 경구용 혈당강하제를 투여하다가 이 약으로 전환할 경우에는 초기용량 항에서 제시한 방법을 따르는 것이 좋다. 즉, 1일 1 mg으로 투여를 시작하고 1 ～ 2주 간격으로 용량을 조절할 수 있다. 이전에 투여하던 약물의 효력 및 작용지속정도를 고려해야 한다.",
998,건메피드정4밀리그램(글리메피리드),4) 투약조절,
